ticker,name,close,change,nxt,market_cap_uk,tv_today_uk,tv5_uk,state,legacy_state,setup_score,total_score,sideways_score,convergence_score,long_structure_score,breakout_score,grade,best_setup_score,best_setup_age,ma5,ma10,ma20,ma60,ma120,close_range_pct,net_change_pct,low_change_pct,tr_ratio,spread_pct,spread_5bars_ago,spread_10bars_ago,shrink_pct,ma20_slope_abs_pct,convergence_hits,ma60_down_ratio,ma120_down_ratio,close_ma60_gap_pct,close_ma120_gap_pct,ma20_ma60_gap_pct,volume_ratio,close_location,breakout_margin_pct,score_sideways_range,score_sideways_net,score_low_stability,score_volatility_contraction,score_spread_level,score_spread_shrink,score_spread_sequence,score_ma20_flatness,score_convergence_persistence,score_ma60_down,score_ma120_down,score_close_ma60_gap,score_close_ma120_gap,score_ma20_ma60_gap,score_first_breakout,score_volume,score_close_location,score_breakout_margin,mandatory_structure_pass,sideways_min_pass,convergence_min_pass,setup_min_pass,setup_ready,first_all_above,fire_ready
352820,하이브,173700.0,3.27,NXT,88790,848.0,1444.0,,,20.61,,0.0,5.79,14.82,1.25,,,,173580.0,191720.0,203435.0,214083.33,265575.0,44.52,19.21,-21.05,1.61,17.2,0.79,4.22,-307.41,3.42,7,100.0,100.0,23.25,52.89,5.23,0.98,0.56,-14.62,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.79,3.5,4.0,4.0,3.0,3.0,0.82,0.0,0.44,0.81,0.0,True,False,False,False,False,False,False
071050,한국금융지주,195500.0,-4.17,NXT,120646,507.0,693.0,,,13.17,,1.32,3.13,8.72,0.0,,,,192520.0,205160.0,218555.0,232135.0,236088.33,35.69,21.49,-17.71,1.1,13.52,4.24,3.03,-346.07,3.73,5,63.41,9.76,18.74,20.76,6.21,0.79,0.2,-10.55,0.0,0.0,0.0,1.32,0.0,0.0,0.0,0.63,2.5,1.84,0.0,3.0,3.0,0.88,0.0,0.0,0.0,0.0,True,False,False,False,False,False,False
015760,한국전력,34300.0,-0.72,NXT,217946,530.0,861.0,,WATCH,46.78,,9.43,22.43,14.92,0.1,,,,33680.0,34370.0,34922.5,37604.17,43627.5,18.48,12.28,-1.99,1.27,3.69,4.28,7.52,50.94,3.03,7,100.0,100.0,9.63,27.19,7.68,0.63,0.42,-1.78,1.21,0.0,8.01,0.21,8.62,6.32,3.0,0.99,3.5,4.0,4.0,2.94,3.0,0.98,0.0,0.0,0.1,0.0,True,False,True,False,False,False,False
047810,한국항공우주,122600.0,-3.31,NXT,137537,633.0,964.0,,,15.11,,0.59,3.77,10.75,0.0,,,,125880.0,139020.0,143320.0,150011.67,165250.0,35.66,23.71,-19.53,1.21,13.85,2.29,1.57,-783.16,4.47,7,100.0,43.9,22.36,34.79,4.67,0.76,0.19,-14.46,0.0,0.0,0.0,0.59,0.0,0.0,0.0,0.27,3.5,4.0,0.0,3.0,3.0,0.75,0.0,0.0,0.0,0.0,True,False,False,False,False,False,False
042700,한미반도체,201500.0,-4.28,NXT,197772,2387.0,4320.0,,,13.7,,1.14,2.5,10.06,0.0,,,,184000.0,199000.0,210515.0,275013.33,277013.33,61.0,10.64,-17.97,1.13,14.41,5.51,8.48,-69.87,6.77,2,75.61,7.32,36.48,37.48,30.64,0.59,0.36,-4.28,0.0,0.0,0.0,1.14,0.0,0.0,1.5,0.0,1.0,3.06,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,True,False,False,False,False,False,False
128940,한미약품,342000.0,3.48,NXT,45671,422.0,564.0,,,18.0,,0.0,3.0,15.0,1.13,,,,334400.0,358550.0,375100.0,417191.67,472491.67,39.32,18.28,-11.44,1.42,12.17,4.97,6.09,-99.94,5.88,3,97.56,92.68,21.99,38.16,11.22,0.84,0.62,-8.82,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,1.5,4.0,4.0,3.0,3.0,1.0,0.0,0.09,1.04,0.0,True,False,False,False,False,False,False
009830,한화솔루션,24800.0,-2.75,,51309,504.0,887.0,,,13.18,,2.18,0.0,11.0,1.28,,,,24120.0,26055.0,28147.5,35375.32,40479.74,40.04,21.14,-16.35,0.98,16.7,9.91,9.63,-73.47,8.51,0,97.56,24.39,42.64,63.22,25.68,0.63,0.71,-11.89,0.0,0.0,0.0,2.18,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,3.0,1.0,0.0,0.0,1.28,0.0,True,False,False,False,False,False,False
272210,한화시스템,62600.0,1.95,NXT,118263,423.0,781.0,,,18.26,,2.83,4.43,11.0,1.55,,,,58220.0,61530.0,64585.0,85940.0,106591.67,51.77,23.19,-16.5,0.92,10.93,6.39,12.05,9.27,6.38,0,100.0,43.9,37.28,70.27,33.06,0.5,0.82,-3.07,0.0,0.0,0.0,2.83,0.0,2.93,1.5,0.0,0.0,4.0,0.0,3.0,3.0,1.0,0.0,0.0,1.55,0.0,True,False,False,False,False,False,False
012450,한화에어로스페이스,914000.0,0.55,NXT,449632,1622.0,2452.0,,,24.34,,3.89,9.45,11.0,0.5,,,,875400.0,902700.0,940900.0,1084600.0,1224175.0,41.39,21.07,-9.16,0.85,7.48,7.7,12.21,38.74,5.3,0,100.0,43.9,18.67,33.94,15.27,0.63,0.5,-2.86,0.0,0.0,0.56,3.33,1.04,5.41,3.0,0.0,0.0,4.0,0.0,3.0,3.0,1.0,0.0,0.0,0.5,0.0,True,False,False,False,False,False,False
042660,한화오션,83000.0,-1.66,NXT,235325,1253.0,2643.0,,,38.26,,8.01,15.95,14.3,0.0,,,,80300.0,83480.0,84535.0,106011.67,118199.17,50.86,26.94,-3.65,0.95,5.27,7.49,16.53,68.1,6.74,1,95.12,78.05,27.72,42.41,25.41,0.29,0.38,-1.82,0.0,0.0,5.53,2.48,5.45,7.0,3.0,0.0,0.5,4.0,3.3,3.0,3.0,1.0,0.0,0.0,0.0,0.0,True,False,False,False,False,False,False
000720,현대건설,94600.0,2.05,NXT,109128,652.0,875.0,,,15.36,,0.0,4.36,11.0,1.39,,,,89540.0,96060.0,98830.0,123775.0,138662.5,38.64,17.09,-13.76,1.35,10.38,5.1,10.09,-2.82,6.4,2,100.0,29.27,30.84,46.58,25.24,0.88,0.67,-4.28,0.0,0.0,0.0,0.0,0.0,1.86,1.5,0.0,1.0,4.0,0.0,3.0,3.0,1.0,0.0,0.2,1.19,0.0,True,False,False,False,False,False,False
086280,현대글로비스,199200.0,0.2,NXT,136275,354.0,504.0,,,59.62,,26.49,24.22,8.91,1.64,,64.74,2,193760.0,196950.0,192910.0,209950.0,222629.17,12.88,1.63,3.28,1.19,2.09,3.95,1.41,-48.85,0.2,10,97.56,48.78,5.4,11.76,8.83,0.68,0.34,1.14,6.83,8.91,10.0,0.75,12.72,0.0,1.5,5.0,5.0,4.0,0.0,1.9,2.01,1.0,0.0,0.0,0.0,1.64,True,True,True,False,False,False,False
064350,현대로템,129100.0,-1.97,NXT,180521,495.0,1267.0,,,16.85,,3.97,0.0,12.88,0.0,,,,124060.0,138590.0,154460.0,185583.33,199174.17,63.34,33.69,-22.27,0.75,24.5,11.43,9.96,-146.01,9.47,0,75.61,73.17,43.75,54.28,20.15,0.45,0.31,-16.42,0.0,0.0,0.0,3.97,0.0,0.0,0.0,0.0,0.0,3.06,2.82,3.0,3.0,1.0,0.0,0.0,0.0,0.0,True,False,False,False,False,False,False
319400,현대무벡스,23150.0,8.69,,22943,910.0,836.0,,FIRE,47.62,,17.44,21.16,9.02,7.98,,,,21620.0,20935.0,21186.0,29847.83,29943.92,26.42,1.54,-1.54,1.38,3.27,8.58,16.54,80.22,3.61,2,63.41,51.22,28.93,29.35,40.88,2.02,0.7,7.08,0.0,8.98,8.46,0.0,9.46,7.0,3.0,0.7,1.0,1.84,0.18,3.0,3.0,1.0,4.0,2.0,1.25,0.73,True,False,True,False,False,True,False
005387,현대차2우B,198100.0,-1.44,,69857,203.0,368.0,,,27.07,,1.87,13.65,11.55,1.0,,,,188080.0,192300.0,197925.0,232758.33,245787.5,24.79,11.36,-8.1,1.21,5.23,4.22,6.89,23.97,3.36,3,97.56,53.66,17.5,24.07,17.6,0.58,0.56,0.09,0.0,0.0,1.26,0.61,5.53,4.3,1.5,0.82,1.5,4.0,0.55,3.0,3.0,1.0,0.0,0.0,0.82,0.18,True,False,False,False,False,False,False
460930,현대힘스,13340.0,-1.26,NXT,3835,323.0,896.0,,,33.54,,12.29,6.72,14.53,0.0,,,,13240.0,13433.0,12553.5,14300.83,16485.08,45.86,8.28,12.62,1.38,7.01,10.55,2.59,-170.82,1.85,1,100.0,100.0,7.2,23.58,13.92,0.58,0.39,-0.69,0.0,2.29,10.0,0.0,1.99,0.0,1.5,2.73,0.5,4.0,4.0,2.53,3.0,1.0,0.0,0.0,0.0,0.0,True,False,False,False,False,False,False
