Ticker,Signal_sco,수익률(%),당일등락률(%),시가,고가,저가,종가,거래량,거래대금,HighVol,NewSig,is_lime,is_green,is_red,RSI14,MA5,MA10,MA20,MA60,MA120,정배열값(jung),HLd99,HLv99,HLv71,HLv7,Stoch_K3,Stoch_K2,ATR5,ATR60,Norm_sco,Norm_rtn,Final_score
PEN,-2.5,9.569055944499105,0.0758679316384736,329.32000732421875,330.1050109863281,328.9700012207031,329.7699890136719,438700.0,144670094.18029785,False,-,False,False,True,38.99733968926371,330.039990234375,330.118994140625,333.2719970703125,340.81416473388674,313.1834988911947,,-1,-1.0,-1.0,1.0,21.45832187339968,31.12816285087269,1.797003173828125,3.9071334838867187,0.3392857142857143,0.3867047661203084,34.63985720609034
TLT,-2.25,-1.5144634885862707,-0.24221348542609045,86.5999984741211,86.68000030517578,86.33000183105469,86.48999786376953,13237300.0,1144894048.7220764,False,-,False,False,False,43.787134115797805,86.67999877929688,86.55599975585938,86.6194995880127,87.81616694132487,88.44258327484131,,0,-1.0,1.0,1.0,35.00696822399572,67.11975935471487,0.6139984130859375,0.6911666870117188,0.3482142857142857,0.33132310701674783,34.568060890965505
VZ,-2.75,18.021027676162802,-3.64168670620284,47.09000015258789,47.099998474121094,45.95000076293945,46.040000915527344,25241500.0,1162118683.1092834,False,-,False,False,True,48.95915157793147,47.92600021362305,48.92300033569336,49.687500381469725,47.40783348083496,43.872333240509036,,-1,-1.0,-1.0,1.0,23.00518507087295,9.102309979826797,1.1279998779296876,1.0303332646687826,0.33035714285714285,0.42893721945085017,34.51441543461989
WGO,-1.75,-28.283045074039237,0.2731415796782599,33.029998779296875,33.29999923706055,32.459999084472656,33.040000915527344,361700.0,11950568.33114624,False,-,False,False,False,31.83392039876184,32.24800071716309,31.582000160217284,32.56899995803833,40.28950007756551,39.289583428700766,,0,-1.0,1.0,-1.0,27.90172827493827,58.826949236373196,1.5419998168945312,1.701499843597412,0.36607142857142855,0.19756699561173363,34.07957636274743
UUUU,-2.5,-5.252319535306227,0.4366808135300104,18.5,19.280000686645508,18.299999237060547,18.399999618530273,7575100.0,139381837.11032867,False,-,False,False,False,44.26279040761727,18.07399978637695,17.838999938964843,18.06299991607666,20.698333295186362,18.64616661866506,,0,-1.0,1.0,1.0,31.342867856964347,52.73974528660564,1.110000228881836,2.0141666094462076,0.3392857142857143,0.3126459466971036,33.52897491474227
ELAN,-2.5,-5.398779390525288,-1.4066493460541896,23.649999618530273,23.899999618530273,22.829999923706055,23.1299991607666,3442100.0,79615770.11127472,False,-,False,False,True,46.5769533230304,23.16199951171875,23.25099983215332,23.86899995803833,24.431500085194905,23.345750029881795,,0,-2.0,-1.0,1.0,29.284411867916464,32.004718060587656,0.9859996795654297,0.9434999465942383,0.3392857142857143,0.3119141223137867,33.51799754899252
NCLH,-2.25,-16.204872627224642,0.0,20.059999465942383,20.360000610351562,19.6299991607666,19.959999084472656,11624800.0,232030997.35717773,False,🆕LIME,True,False,False,44.33899370111882,19.63599967956543,19.13299980163574,19.427499961853027,21.307666746775308,21.13950007756551,,1,1.0,1.0,1.0,40.323508616009235,59.114275849104025,1.1980003356933593,1.219000021616618,0.3482142857142857,0.2579186946439694,33.46699470537383
UEC,-2.5,-12.990356482228504,-1.3129125067464997,13.850000381469727,14.220000267028809,13.420000076293945,13.529999732971191,4881800.0,66050752.69641876,False,-,True,False,False,45.135639095292326,13.533999824523926,13.360999965667725,13.279999923706054,15.311666711171467,14.192583346366883,,0,1.0,1.0,1.0,46.549676737798166,55.597512632119695,0.8839998245239258,1.2388333479563396,0.3392857142857143,0.27398085237282627,32.94899849987811
DAKT,-2.75,-5.238097054617741,0.05027767314582654,19.979999542236328,20.079999923706055,19.049999237060547,19.899999618530273,512700.0,10202729.804420471,False,-,False,False,False,38.83927861170692,19.75799980163574,19.614999961853027,20.079499912261962,22.76349992752075,20.977333307266235,,0,-1.0,1.0,1.0,18.75801206777744,33.28183871885526,0.7919998168945312,1.0609999338785807,0.33035714285714285,0.3127170129844731,32.77111233762424
MIR,-2.25,-27.8006741394617,0.8372571549026597,19.270000457763672,19.459999084472656,19.104999542236328,19.270000457763672,2562300.0,49375522.17292786,False,-,False,False,False,41.50108876760057,19.30800018310547,18.8,18.885500049591066,21.810166772206625,23.51775007247925,,0,-1.0,1.0,-1.0,36.36239797266727,68.34366662481212,0.7989997863769531,1.0696998914082845,0.3482142857142857,0.19997728620774174,32.59787357883041
APLD,-2.25,-28.46635553311928,2.698476895943358,26.3799991607666,28.25,26.100000381469727,26.260000228881836,26304400.0,690753550.0205994,False,-,False,False,False,44.23977502352828,25.99800033569336,24.708500099182128,25.838500118255617,30.430750052134197,29.69933338165283,,0,-1.0,1.0,1.0,46.796081312069056,65.75216907412603,2.4860004425048827,2.965283489227295,0.3482142857142857,0.19665103769636394,32.547979851159745
CDNA,-2.5,-20.50520647591606,-3.8346391642773425,16.690000534057617,16.950000762939453,15.5600004196167,16.049999237060547,784300.0,12588014.401626587,False,-,False,False,True,45.71009977611481,17.229999923706053,17.29000015258789,17.394999980926514,18.752583249409994,18.099374961853027,,-2,-2.0,-1.0,-1.0,40.114851294724176,41.97120930387731,1.1280000686645508,0.9624999523162842,0.3392857142857143,0.23643096913605882,32.3857502513266
