date,scenario,ticker,name,bucket,rank,target_weight,close,signal_sco,final_score,trend,mtype
2026-06-08,s3,PTF,PTF,us,2,0.105,121.77999877929688,13.5,0.964906,,NASDAQ
2026-06-08,s1,446770,톱반도,us,3,0.075,85700.0,12.5,0.958491,,NASDAQ
2026-06-08,s3,446770,톱반도,us,3,0.0875,85700.0,12.5,0.958491,,NASDAQ
2026-06-09,s1,VIG,VIG,us,2,0.117224,233.33999633789062,12.0,0.8314,,NASDAQ
2026-06-09,s3,VIG,VIG,us,2,0.114,233.33999633789062,12.0,0.8314,,NASDAQ
2026-06-09,s1,RSP,RSP,us,3,0.097686,207.61000061035156,12.0,0.826427,,NASDAQ
2026-06-09,s3,RSP,RSP,us,3,0.095,207.61000061035156,12.0,0.826427,,NASDAQ
2026-06-09,s1,XLV,XLV,us,1,0.225,153.72999572753906,13.5,0.892111,,NASDAQ
2026-06-09,s3,XLV,XLV,us,1,0.171,153.72999572753906,13.5,0.892111,,NASDAQ
2026-06-09,s1,IJR,IJR,us,2,0.12,141.1156005859375,12.0,0.848661,,NASDAQ
2026-06-09,s3,IJR,IJR,us,2,0.114,141.1156005859375,12.0,0.848661,,NASDAQ
2026-06-09,s1,VTV,VTV,us,3,0.1,213.88999938964844,12.5,0.842632,,NASDAQ
2026-06-09,s3,VTV,VTV,us,3,0.095,213.88999938964844,12.5,0.842632,,NASDAQ
2026-06-10,s1,IJR,IJR,us,1,0.063978,139.88999938964844,11.0,0.914829,,NASDAQ
2026-06-10,s3,IJR,IJR,us,1,0.0525,139.88999938964844,11.0,0.914829,,NASDAQ
2026-06-10,s1,VTV,VTV,us,2,0.064516,,12.5,0.55,,NASDAQ
2026-06-10,s3,VTV,VTV,us,2,0.045,,12.5,0.55,,NASDAQ
2026-06-10,s1,VIG,VIG,us,3,0.051075,,11.0,0.516327,,NASDAQ
2026-06-10,s3,VIG,VIG,us,3,0.0375,,11.0,0.516327,,NASDAQ
2026-06-10,s1,RSP,RSP,us,4,0.02043,,11.0,0.516327,,NASDAQ
2026-06-10,s3,RSP,RSP,us,4,0.015,,11.0,0.516327,,NASDAQ
2026-06-11,s1,XLF,XLF,us,2,0.06,52.22999954223633,11.5,0.853264,,NASDAQ
2026-06-11,s3,XLF,XLF,us,2,0.045,52.22999954223633,11.5,0.853264,,NASDAQ
2026-06-11,s1,XLV,XLV,us,1,0.09,154.05999755859375,13.25,0.906969,,NASDAQ
2026-06-11,s3,XLV,XLV,us,1,0.0675,154.05999755859375,13.25,0.906969,,NASDAQ
2026-06-11,s1,IJR,IJR,us,2,0.06,140.2899932861328,11.0,0.882997,,NASDAQ
