date,Worst,Neutral,Recovery,HotVeryHot,total_universe,avg_sco,avg_3m,Other,Worst_pct,Neutral_pct,Recovery_pct,HotVeryHot_pct,Other_pct,cell_<0__<0%,cell_<0__0~15%,cell_<0__15~30%,cell_<0__30%+,cell_0~7__<0%,cell_0~7__0~15%,cell_0~7__15~30%,cell_0~7__30%+,cell_8~10__<0%,cell_8~10__0~15%,cell_8~10__15~30%,cell_8~10__30%+,cell_11+__<0%,cell_11+__0~15%,cell_11+__15~30%,cell_11+__30%+,QQQ_close,SPY_close,sco_strong,sco_mid,sco_weak,sco_neg,regime_raw_avg,regime_map_score,strong_zone_cnt,risk_zone_cnt,worst_zone_cnt,regime_state
2026-02-24,7,17,22,11,134,6.03,18.83,77,5.22,12.69,16.42,8.21,57.46,,,,,,,,,,,,,,,,,607.1,,15.0,47.0,54.0,18.0,0.0,0.0,0.0,0.0,0.0,
2026-02-25,9,25,17,21,134,6.57,18.7,62,6.72,18.66,12.69,15.67,46.27,,,,,,,,,,,,,,,,,615.9,,34.0,37.0,46.0,17.0,0.0,0.0,0.0,0.0,0.0,
2026-02-26,11,22,15,19,134,6.47,19.27,67,8.21,16.42,11.19,14.18,50.0,,,,,,,,,,,,,,,,,608.47,,32.0,41.0,44.0,17.0,0.0,0.0,0.0,0.0,0.0,
2026-02-27,10,19,15,18,134,6.68,18.5,72,7.46,14.18,11.19,13.43,53.73,,,,,,,,,,,,,,,,,606.53,,38.0,36.0,44.0,16.0,0.0,0.0,0.0,0.0,0.0,
2026-03-02,9,25,15,18,134,6.41,17.19,67,6.72,18.66,11.19,13.43,50.0,,,,,,,,,,,,,,,,,607.32,,25.0,44.0,53.0,12.0,0.0,0.0,0.0,0.0,0.0,
2026-03-03,12,42,6,14,134,5.16,12.8,60,8.96,31.34,4.48,10.45,44.78,,,,,,,,,,,,,,,,,600.82,,6.0,41.0,65.0,22.0,0.0,0.0,0.0,0.0,0.0,
2026-03-04,12,55,20,9,134,3.54,10.0,38,8.96,41.04,14.93,6.72,28.36,,,,,,,,,,,,,,,,,609.98,,2.0,19.0,88.0,25.0,0.0,0.0,0.0,0.0,0.0,
2026-03-05,16,44,12,3,134,2.05,10.79,59,11.94,32.84,8.96,2.24,44.03,,,,,,,,,,,,,,,,,608.14,,3.0,12.0,72.0,47.0,0.0,0.0,0.0,0.0,0.0,
2026-03-06,23,31,8,1,134,0.79,9.9,71,17.16,23.13,5.97,0.75,52.99,,,,,,,,,,,,,,,,,598.99,,4.0,8.0,63.0,59.0,0.0,0.0,0.0,0.0,0.0,
2026-03-09,26,25,5,1,134,0.21,9.36,77,19.4,18.66,3.73,0.75,57.46,,,,,,,,,,,,,,,,,606.99,,2.0,7.0,48.0,77.0,0.0,0.0,0.0,0.0,0.0,
2026-03-10,23,24,8,3,134,-0.0,9.93,76,17.16,17.91,5.97,2.24,56.72,,,,,,,,,,,,,,,,,607.0,,2.0,7.0,51.0,74.0,0.0,0.0,0.0,0.0,0.0,
2026-03-11,22,16,8,3,134,-0.21,9.98,85,16.42,11.94,5.97,2.24,63.43,,,,,,,,,,,,,,,,,606.92,,2.0,7.0,45.0,80.0,0.0,0.0,0.0,0.0,0.0,
2026-03-12,27,14,7,2,134,-0.65,8.69,84,20.15,10.45,5.22,1.49,62.69,,,,,,,,,,,,,,,,,596.51,,2.0,3.0,41.0,88.0,0.0,0.0,0.0,0.0,0.0,
2026-03-13,36,13,7,1,134,-0.99,6.79,77,26.87,9.7,5.22,0.75,57.46,,,,,,,,,,,,,,,,,592.97,,2.0,3.0,36.0,93.0,0.0,0.0,0.0,0.0,0.0,
2026-03-16,41,10,9,0,134,-1.28,7.34,74,30.6,7.46,6.72,0.0,55.22,,,,,,,,,,,,,,,,,599.62,,1.0,3.0,34.0,96.0,0.0,0.0,0.0,0.0,0.0,
2026-03-17,32,7,8,1,134,-1.4,8.83,86,23.88,5.22,5.97,0.75,64.18,,,,,,,,,,,,,,,,,602.55,,2.0,2.0,32.0,98.0,0.0,0.0,0.0,0.0,0.0,
