date,account,total_asset,kr_total_asset,kr_stock_eval,kr_cash,us_stock_krw,usd_cash_krw,fx_other_krw,us_aset_evlt_raw,kr_realized_pl,us_realized_pl_krw,usdkrw,ext_flow,ext_flow_auto,cash_in,cash_out,sec_in,sec_out,flow_src,note,src_updated
2026-08-18,8458,19989181,9490221,6931865,2844216,8411710,2087250,0,13328640,0,0,1415,,0,0,0,0,0,kt00016,,2026-08-18 16:21:21
2026-08-18,BINANCE,249724,0,249724,0,0,0,0,0,0,0,1410,,,,,,,,,2026-08-18 08:01:24
2026-08-18,UPBIT,5303505,0,5103929,199576,0,0,0,0,0,0,1410,,,,,,,,,2026-08-18 08:01:24
2026-08-19,1887,35738279,8654435,510500,7226489,22716711,4367133,0,34278508,-69303,0,1411,,0,0,0,0,0,kt00016,,2026-08-19 15:40:56
2026-08-19,1943,19682173,9233357,6715050,2913667,8350307,2098509,0,13350960,0,0,1411,,0,0,0,0,0,kt00016,,2026-08-19 15:41:18
2026-08-19,2773,6196619,1317368,219600,879205,3926304,952947,0,5753038,-7198,0,1411,,0,0,0,0,0,kt00016,,2026-08-19 15:41:07
2026-08-19,8042,44459395,18238004,8311580,3139461,3420921,16317594,6482876,29356131,0,0,1411,,0,0,0,0,0,kt00016,,2026-08-19 15:41:01
2026-08-19,8458,19658818,9227456,6994090,2628766,8350307,2081055,0,13048605,0,0,1411,,0,0,0,0,0,kt00016,,2026-08-19 15:41:11
2026-08-19,BINANCE,248614,0,248614,0,0,0,0,0,0,0,1404,,,,,,,,,2026-08-19 08:38:43
2026-08-19,UPBIT,5316312,0,5236783,79529,0,0,0,0,0,0,1404,,,,,,,,,2026-08-19 08:38:43
2026-08-20,1887,37101846,8693262,0,7226489,11785293,16623291,0,35733372,118,414505,1402,,0,0,0,0,0,kt00016,,2026-08-20 16:16:02
2026-08-20,1943,19878778,9582902,7064645,2913667,8210008,2085868,0,13278015,0,0,1402,,0,0,0,0,0,kt00016,,2026-08-20 16:16:22
2026-08-20,2773,6501828,1327049,0,879205,4184562,990217,0,6088885,2582,-332468,1402,,0,0,0,0,0,kt00016,,2026-08-20 16:16:12
2026-08-20,8042,45467672,19478781,4891200,10689594,3382724,16219295,6386872,36706697,1315770,0,1402,,0,0,0,0,0,kt00016,,2026-08-20 16:16:06
2026-08-20,8458,19868328,9589801,7356485,2628766,8210008,2068519,0,12975765,0,0,1402,,0,0,0,0,0,kt00016,,2026-08-20 16:16:16
2026-08-20,BINANCE,242887,0,242887,0,0,0,0,0,0,0,1372,,,,,,,,,2026-08-20 08:19:21
2026-08-20,UPBIT,5702423,0,5608032,94390,0,0,0,0,0,0,1372,,,,,,,,,2026-08-20 08:19:21
