source,uid,버킷,_bkey,시간,제목,분류,영향,핵심한줄,관련섹터,언론사,링크
main,381ce2f43a5b65da3a02a8948e691466,06:30~07:00,06:30,2026-06-06 06:31:09,‘오세훈 테마주’ 하루천하…진양화학 9%·천일고속 4% 하락[이런국장 저런주식],기타/시장잡음,부정,6·3 지방선거에서 재선에 성공한 오세훈 서울시장 관련 테마주가 하루 만에 급락세로 돌아섰다.,-,서울경제,https://n.news.naver.com/mnews/article/011/0004628223
main,dc1b9ee1f4c6c2b6670fef5488ede75f,06:00~06:30,06:00,2026-06-06 06:15:08,"“코스피 로봇 대장주, 다들 아시죠?”...‘현대차 이름표’ 단 ETF 봇물",로봇,혼재,집중형·혼합형…상품군 다양 車 넘어 피지컬AI 강자로 인기 ETF 상품명으로 들어가는 건 반도체 대형주…,"로봇, AI_인프라",매일경제,https://n.news.naver.com/mnews/article/009/0005690047
main,f2f89d557bcea77c1d081b831edf4b6d,06:00~06:30,06:00,2026-06-06 06:01:13,"""한 방에 먹으려다 탈 났다""…삼전닉스 출렁이자 레버리지 '우수수'",AI/반도체,혼재,"더 오른다고 해서 들어갔는데, 무작정 버티면 되는 걸까요?"" 삼성전자·SK하이닉스 급락에 개인 투자자들이…","AI_메모리, AI_GPU, 반도체장비",파이낸셜뉴스,https://n.news.naver.com/mnews/article/014/0005531251
main,e4a4a15c111f4a6c2434bef3fbd92530,06:00~06:30,06:00,2026-06-06 06:00:02,"허풍률 81%에도 ‘조만장자’ 임박…머스크의 꿈, 왜 잘 팔릴까?",우주항공,혼재,일론 머스크 테슬라 최고경영자(CEO)가 인류 최초의 ‘조만장자(Trillionaire)’ 등극을 눈앞에…,"우주항공, 방산",중앙일보,https://n.news.naver.com/mnews/article/025/0003528397
main,19245bf37eb1fe795d4c2eb279bdd9fd,06:00~06:30,06:00,2026-06-06 06:00:00,"피지컬AI 올라탄 현대차…""토요타 넘어 테슬라와 경쟁"" [종목현미경]",자동차,중립,현대차가 토요타를 넘어 글로벌 모빌리티·로보틱스 대표 기업으로 도약할 수 있다는 전망이 증권가에서 잇따르고…,"완성차, 자동차부품",뉴스1,https://n.news.naver.com/mnews/article/421/0008988505
main,e665f4a1c4515fd834be7286f3cea5ff,05:00~05:30,05:00,2026-06-06 05:08:11,[속보]나스닥 4.2% 급락…AI 거품 우려·금리인상 전망에 투매,매크로/금리,부정,인공지능(AI) 열기에 랠리를 펼쳐왔던 뉴욕증시가 급락했다.,"은행, 환율민감주, 수출주",이데일리,https://n.news.naver.com/mnews/article/018/0006299025
main,3f0410be187041673b021775e169b028,05:00~05:30,05:00,2026-06-06 05:00:00,"""10종목 중 4개 겨우 상승”…다음주 코스피 변동성 ‘경고등’",한국증시/수급,혼재,코스피가 반도체 주도 급등 이후 단기 변동성 국면에 접어들 수 있다는 분석이 나온다.,"대형주, 코스피지수",한국경제TV,https://n.news.naver.com/mnews/article/215/0001254476
main,6dfeb381fd0d9c83c30f82d0411c570f,04:00~04:30,04:00,2026-06-06 04:26:10,금리인상 베팅에 AI 랠리 급제동…나스닥 4% 급락중,매크로/금리,혼재,뉴욕증시가 5일(현지시간) 강한 고용지표 충격에 급락하고 있다.,"은행, 환율민감주, 수출주",이데일리,https://n.news.naver.com/mnews/article/018/0006299022
main,0a32f09606a62656d1f37d48633c7ff6,00:00~00:30,00:00,2026-06-06 00:01:42,"'현정은 백기사' H&Q, 현대엘리 투자금 전량 회수[주간사모펀드]",기타/시장잡음,중립,"어펄마 등 PEF, MBK 넥스플렉스 매각 숏리스트 올라 PTA PE, 5년 만에 한국펀드파트너스 매각…",-,더팩트,https://n.news.naver.com/mnews/article/629/0000505487
main,0629990e538aa53eaa917e006e71fd59,00:00~00:30,00:00,2026-06-06 00:00:00,"삼전닉스 60조 팔고 '눈길' 준 곳이…""비결이 뭐야?""",AI/반도체,혼재,5일 서울 홍대 앞은 젠슨 황 엔비디아 최고경영자(CEO)와 국내 대기업 총수들의 '삼소(삼겹살·소주)…,"AI_메모리, AI_GPU, 반도체장비",한국경제TV,https://n.news.naver.com/mnews/article/215/0001254475
