date,ticker,industry,rank,close,sco,trend,위치,raw_mult,floor_mult,base_w,internal_w,alloc_pct,alloc_amount,atr_excluded,vol63,atr_stage_val,k_mult,kospi_trend,last_trend
2022-09-01,377990,신재생,1,10174.0,11.0,-,3,0.0,0.0,1.0,1.0,0.0,0,False,38.6928,1,0.0,RED,RED
2022-09-07,091180,자동차,1,17732.0,12.25,GREEN,1,0.0,0.0,1.0,1.0,0.0,0,False,25.3489,0,0.0,RED,RED
2022-09-08,091180,자동차,1,17805.0,14.0,GREEN,1,0.0,0.0,1.0,1.0,0.0,0,False,25.304,0,0.0,RED,RED
2022-09-13,091180,자동차,1,17663.0,14.0,GREEN,2,0.2,0.2,0.55,0.509537,0.101907,10190735,False,23.2804,0,0.2,-,RED
2022-09-13,411060,금현물,2,10935.0,11.25,GREEN,1,0.2,0.2,0.45,0.490463,0.098093,9809264,False,9.7333,0,0.2,-,RED
2022-09-14,091180,자동차,1,17493.0,12.5,GREEN,2,0.0,0.0,0.55,0.509537,0.0,0,False,23.1204,0,0.0,RED,-
2022-09-14,411060,금현물,2,10910.0,12.75,GREEN,1,0.0,0.0,0.45,0.490463,0.0,0,False,9.2851,0,0.0,RED,-
2022-09-15,411060,금현물,1,10885.0,12.75,GREEN,2,0.0,0.0,1.0,1.0,0.0,0,False,9.2746,0,0.0,RED,RED
2022-10-05,411060,금현물,1,11225.0,11.25,GREEN,1,0.0,0.0,1.0,1.0,0.0,0,False,11.0963,0,0.0,RED,RED
2022-10-06,411060,금현물,1,11150.0,13.25,GREEN,1,0.0,0.0,1.0,1.0,0.0,0,False,11.1883,0,0.0,RED,RED
2022-10-07,411060,금현물,1,11155.0,14.0,GREEN,1,0.0,0.0,1.0,1.0,0.0,0,False,10.8606,0,0.0,RED,RED
2022-10-11,411060,금현물,1,11025.0,13.25,GREEN,2,0.0,0.0,1.0,1.0,0.0,0,False,10.5753,0,0.0,RED,RED
2022-10-12,411060,금현물,1,10980.0,11.0,GREEN,3,0.0,0.0,1.0,1.0,0.0,0,False,10.6059,1,0.0,RED,RED
2022-10-26,305720,이차전,1,20116.0,11.0,GREEN,1,0.6,0.35,1.0,1.0,0.6,60000000,False,29.9082,0,0.6,GREEN,-
