date,ticker,industry,rank,close,sco,trend,위치,mtype,raw_mult,base_w,alloc_pct,k_mult,us_mult,kospi_trend,nasdaq_trend
2023-07-12,GREK,GREK,1,35.3408317565918,15.75,-,1,NASDAQ,0.6,0.31,0.186,0.4,0.4,-,-
2023-07-12,139230,조선주,2,4085.0,15.5,LIME,1,KOSPI,0.6,0.25,0.15,0.4,0.4,-,-
2023-07-12,JETS,JETS,3,21.821269989013672,15.25,-,1,NASDAQ,0.6,0.16,0.096,0.4,0.4,-,-
2023-07-12,ARKF,ARKF,4,22.44037818908692,15.0,-,1,NASDAQ,0.6,0.1,0.06,0.4,0.4,-,-
2023-07-12,CARZ,CARZ,5,55.35812377929688,15.0,LIME,1,NASDAQ,0.6,0.1,0.06,0.4,0.4,-,-
2023-07-12,ARKW,ARKW,6,62.1392822265625,14.75,-,1,NASDAQ,0.55,0.08,0.044,0.4,0.4,-,-
2023-07-13,ARKF,ARKF,1,23.829164505004883,16.0,LIME,1,NASDAQ,0.8,0.31,0.248,0.4,0.8,-,GREEN
2023-07-13,ARKW,ARKW,2,65.73371124267578,16.0,LIME,1,NASDAQ,0.8,0.25,0.2,0.4,0.8,-,GREEN
2023-07-13,ARKK,ARKK,3,49.21951675415039,16.0,LIME,1,NASDAQ,0.8,0.16,0.128,0.4,0.8,-,GREEN
2023-07-13,GREK,GREK,4,35.3137092590332,16.0,LIME,1,NASDAQ,0.8,0.1,0.08,0.4,0.8,-,GREEN
2023-07-13,139230,조선주,5,4130.0,15.75,LIME,1,KOSPI,0.6,0.1,0.06,0.4,0.8,-,GREEN
2023-07-13,CARZ,CARZ,6,56.39663314819336,15.75,LIME,1,NASDAQ,0.8,0.08,0.064,0.4,0.8,-,GREEN
2023-07-14,139230,조선주,1,4066.0,16.0,LIME,1,KOSPI,1.0,0.31,0.31,1.0,0.8,LIME,GREEN
2023-07-14,ARKF,ARKF,2,23.33959197998047,16.0,LIME,1,NASDAQ,0.8,0.25,0.2,1.0,0.8,LIME,GREEN
2023-07-14,ARKW,ARKW,3,64.12853240966797,16.0,LIME,1,NASDAQ,0.8,0.16,0.128,1.0,0.8,LIME,GREEN
2023-07-14,ARKK,ARKK,4,48.16828536987305,16.0,LIME,1,NASDAQ,0.8,0.1,0.08,1.0,0.8,LIME,GREEN
2023-07-14,GREK,GREK,5,35.286582946777344,16.0,LIME,1,NASDAQ,0.8,0.1,0.08,1.0,0.8,LIME,GREEN
2023-07-14,CARZ,CARZ,6,55.81968307495117,16.0,LIME,1,NASDAQ,0.8,0.08,0.064,1.0,0.8,LIME,GREEN
2023-07-17,ARKW,ARKW,1,65.55644989013672,16.0,LIME,1,NASDAQ,0.8,0.31,0.248,1.0,0.8,LIME,GREEN
2023-07-17,ARKK,ARKK,2,49.26910400390625,16.0,LIME,1,NASDAQ,0.8,0.25,0.2,1.0,0.8,LIME,GREEN
2023-07-17,ARKF,ARKF,3,23.70926856994629,16.0,LIME,1,NASDAQ,0.8,0.16,0.128,1.0,0.8,LIME,GREEN
2023-07-17,QQQ,QQQ,4,376.4572143554688,16.0,LIME,1,NASDAQ,0.8,0.1,0.08,1.0,0.8,LIME,GREEN
2023-07-17,XLY,XLY,5,85.86421966552734,16.0,LIME,1,NASDAQ,0.8,0.1,0.08,1.0,0.8,LIME,GREEN
2023-07-17,CARZ,CARZ,6,56.16585159301758,16.0,LIME,1,NASDAQ,0.8,0.08,0.064,1.0,0.8,LIME,GREEN
2023-07-18,ARKK,ARKK,1,49.44761657714844,16.0,LIME,1,NASDAQ,0.8,0.31,0.248,1.0,0.8,LIME,GREEN
2023-07-18,SMH,SMH,2,158.10488891601562,16.0,LIME,1,NASDAQ,0.8,0.25,0.2,1.0,0.8,LIME,GREEN
2023-07-18,SOXX,SOXX,3,173.75331115722656,16.0,LIME,1,NASDAQ,0.8,0.16,0.128,1.0,0.8,LIME,GREEN
2023-07-18,ARKW,ARKW,4,65.55644989013672,15.75,LIME,1,NASDAQ,0.8,0.1,0.08,1.0,0.8,LIME,GREEN
2023-07-18,ARKF,ARKF,5,23.799190521240234,15.75,LIME,1,NASDAQ,0.8,0.1,0.08,1.0,0.8,LIME,GREEN
2023-07-18,QQQ,QQQ,6,379.5369262695313,16.0,LIME,1,NASDAQ,0.8,0.08,0.064,1.0,0.8,LIME,GREEN
2023-07-19,ARKK,ARKK,1,50.231082916259766,16.0,LIME,1,NASDAQ,0.8,0.31,0.248,1.0,0.8,LIME,GREEN
2023-07-19,ARKW,ARKW,2,66.53137969970703,15.75,LIME,1,NASDAQ,0.8,0.25,0.2,1.0,0.8,LIME,GREEN
2023-07-19,CARZ,CARZ,3,56.63702774047852,16.0,LIME,1,NASDAQ,0.8,0.16,0.128,1.0,0.8,LIME,GREEN
2023-07-19,QQQ,QQQ,4,379.4483642578125,16.0,LIME,1,NASDAQ,0.8,0.1,0.08,1.0,0.8,LIME,GREEN
2023-07-19,ARKF,ARKF,5,23.9290771484375,15.75,LIME,1,NASDAQ,0.8,0.1,0.08,1.0,0.8,LIME,GREEN
2023-07-19,SMH,SMH,6,156.44749450683594,15.0,LIME,2,NASDAQ,0.8,0.08,0.064,1.0,0.8,LIME,GREEN
2023-07-20,091160,반도체,1,33750.0,16.0,LIME,1,KOSPI,1.0,0.31,0.31,1.0,0.8,LIME,GREEN
2023-07-20,449190,나스닥,2,12663.0,16.0,GREEN,1,NASDAQ,0.8,0.25,0.2,1.0,0.8,LIME,GREEN
2023-07-20,229200,코스닥,3,14783.0,16.0,LIME,1,KOSPI,1.0,0.16,0.16,1.0,0.8,LIME,GREEN
2023-07-20,INDA,INDA,4,44.230010986328125,16.0,LIME,1,NASDAQ,0.8,0.1,0.08,1.0,0.8,LIME,GREEN
2023-07-20,XLI,XLI,5,105.67461395263672,16.0,LIME,1,NASDAQ,0.8,0.1,0.08,1.0,0.8,LIME,GREEN
2023-07-20,ARKF,ARKF,6,22.989898681640625,14.25,LIME,2,NASDAQ,0.8,0.08,0.064,1.0,0.8,LIME,GREEN
2023-07-21,GREK,GREK,1,35.9013671875,16.0,LIME,1,NASDAQ,0.6,0.31,0.186,1.0,0.4,LIME,-
